t,p
-0.040208695652173734,-0.7106548672566371
0.02156521739130452,-0.7021592920353975
0.08333913043478278,-1.4361769911504423
0.14511304347826104,1.0734159292035403
0.20688695652173927,-1.3767079646017701
0.26866086956521756,0.02846017699114567
0.3304347826086958,-0.6681769911504509
0.3922086956521741,-1.3648141592920355
0.4539826086956523,-0.6681769911504307
0.5157565217391306,1.0734159292035403
0.5775304347826088,1.0734159292035403
0.639304347826087,0.7250973451327536
0.7010782608695653,-0.3198584070796524
0.7628521739130435,-1.3648141592920355
0.8246260869565218,-1.3648141592920124
0.8864000000000001,-1.3648141592920355
0.9481739130434783,0.028460176991157438
1.0099478260869568,1.0734159292035403
1.071721739130435,1.0734159292035403
1.1334956521739132,-0.3198584070795929
1.1952695652173915,0.37677876106197394
1.2570434782608697,-1.3648141592920355
1.318817391304348,-0.6681769911504093
1.3805913043478262,-0.31985840707966573
1.4423652173913044,0.7250973451327574
1.5041391304347826,1.0734159292035403
1.5659130434782609,0.02846017699112413
1.6276869565217393,-0.668176991150502
1.6894608695652176,1.0734159292035403
1.7512347826086958,1.0734159292035403
1.813008695652174,-1.3648141592920355
1.8747826086956523,0.7250973451327969
1.9365565217391305,1.0734159292035403
1.998330434782609,-0.3198584070795465
2.060104347826087,-0.6681769911504691
2.121878260869565,1.0734159292035403
2.1836521739130434,0.376778761061881
2.2454260869565217,1.0734159292035403
2.3072,-1.0164955752212526
2.368973913043478,1.0734159292035403
2.4307478260869564,-0.31985840707964575
2.4925217391304346,-0.6681769911504691
2.554295652173913,-1.3648141592920355
2.616069565217391,-0.6681769911504424
2.6778434782608693,-0.31985840707964597
2.7396173913043476,0.7250973451327574
2.801391304347826,-1.0164955752212521
2.863165217391304,-0.3198584070796855
2.9249391304347823,-1.3648141592920355
2.9867130434782605,-0.31815929203539794
